,student_id,priority,mark,status,kvota,year,specialty,university,placesCount,budgetCount,contractCount,vstup,budget_mark_mean,mark_mean,abit_count,mark_max,mark_min,budget_mark_max,budget_mark_min,position
0,1,1,200.0,До наказу (бюджет),None,2017,Хімія,Харківський національний університет імені В.Н. Каразіна,100,51,49,True,184.0540833333334,175.37329906542053,214,200.0,136.249,200.0,164.888,1
1,2,1,200.0,До наказу (бюджет),None,2017,Хімія,Харківський національний університет імені В.Н. Каразіна,100,51,49,True,184.0540833333334,175.37329906542053,214,200.0,136.249,200.0,164.888,2
2,3,3,200.0,Допущено,None,2017,Хімія,Харківський національний університет імені В.Н. Каразіна,100,51,49,False,184.0540833333334,175.37329906542053,214,200.0,136.249,200.0,164.888,3
3,4,1,200.0,До наказу (бюджет),None,2017,Хімія,Харківський національний університет імені В.Н. Каразіна,100,51,49,True,184.0540833333334,175.37329906542053,214,200.0,136.249,200.0,164.888,4
4,5,3,200.0,Допущено,None,2017,Хімія,Харківський національний університет імені В.Н. Каразіна,100,51,49,False,184.0540833333334,175.37329906542053,214,200.0,136.249,200.0,164.888,5
5,6,3,200.0,Допущено,None,2017,Хімія,Харківський національний університет імені В.Н. Каразіна,100,51,49,False,184.0540833333334,175.37329906542053,214,200.0,136.249,200.0,164.888,6
6,7,1,200.0,До наказу (бюджет),None,2017,Хімія,Харківський національний університет імені В.Н. Каразіна,100,51,49,True,184.0540833333334,175.37329906542053,214,200.0,136.249,200.0,164.888,7
7,8,3,200.0,Допущено,None,2017,Хімія,Харківський національний університет імені В.Н. Каразіна,100,51,49,False,184.0540833333334,175.37329906542053,214,200.0,136.249,200.0,164.888,8
8,9,1,200.0,До наказу (бюджет),None,2017,Хімія,Харківський національний університет імені В.Н. Каразіна,100,51,49,True,184.0540833333334,175.37329906542053,214,200.0,136.249,200.0,164.888,9
9,10,2,199.273,Допущено,None,2017,Хімія,Харківський національний університет імені В.Н. Каразіна,100,51,49,False,184.0540833333334,175.37329906542053,214,200.0,136.249,200.0,164.888,10
10,11,5,198.465,Допущено,None,2017,Хімія,Харківський національний університет імені В.Н. Каразіна,100,51,49,False,184.0540833333334,175.37329906542053,214,200.0,136.249,200.0,164.888,11
11,12,6,198.465,Допущено,None,2017,Хімія,Харківський національний університет імені В.Н. Каразіна,100,51,49,False,184.0540833333334,175.37329906542053,214,200.0,136.249,200.0,164.888,12
12,13,2,198.364,Допущено,None,2017,Хімія,Харківський національний університет імені В.Н. Каразіна,100,51,49,False,184.0540833333334,175.37329906542053,214,200.0,136.249,200.0,164.888,13
13,14,4,197.75799999999998,Допущено,None,2017,Хімія,Харківський національний університет імені В.Н. Каразіна,100,51,49,False,184.0540833333334,175.37329906542053,214,200.0,136.249,200.0,164.888,14
14,15,1,197.553,До наказу (бюджет),None,2017,Хімія,Харківський національний університет імені В.Н. Каразіна,100,51,49,True,184.0540833333334,175.37329906542053,214,200.0,136.249,200.0,164.888,15
15,16,1,196.929,До наказу (бюджет),None,2017,Хімія,Харківський національний університет імені В.Н. Каразіна,100,51,49,True,184.0540833333334,175.37329906542053,214,200.0,136.249,200.0,164.888,16
16,17,4,196.445,Допущено,None,2017,Хімія,Харківський національний університет імені В.Н. Каразіна,100,51,49,False,184.0540833333334,175.37329906542053,214,200.0,136.249,200.0,164.888,17
17,18,9,196.142,Допущено,None,2017,Хімія,Харківський національний університет імені В.Н. Каразіна,100,51,49,False,184.0540833333334,175.37329906542053,214,200.0,136.249,200.0,164.888,18
18,19,7,195.03099999999998,Допущено,None,2017,Хімія,Харківський національний університет імені В.Н. Каразіна,100,51,49,False,184.0540833333334,175.37329906542053,214,200.0,136.249,200.0,164.888,19
19,20,6,194.93,Допущено,None,2017,Хімія,Харківський національний університет імені В.Н. Каразіна,100,51,49,False,184.0540833333334,175.37329906542053,214,200.0,136.249,200.0,164.888,20
20,21,4,194.93,Допущено,None,2017,Хімія,Харківський національний університет імені В.Н. Каразіна,100,51,49,False,184.0540833333334,175.37329906542053,214,200.0,136.249,200.0,164.888,21
21,22,7,194.829,Допущено,None,2017,Хімія,Харківський національний університет імені В.Н. Каразіна,100,51,49,False,184.0540833333334,175.37329906542053,214,200.0,136.249,200.0,164.888,22
22,23,4,194.425,Допущено,None,2017,Хімія,Харківський національний університет імені В.Н. Каразіна,100,51,49,False,184.0540833333334,175.37329906542053,214,200.0,136.249,200.0,164.888,23
23,24,1,194.328,До наказу (бюджет),None,2017,Хімія,Харківський національний університет імені В.Н. Каразіна,100,51,49,True,184.0540833333334,175.37329906542053,214,200.0,136.249,200.0,164.888,24
24,25,1,194.328,До наказу (бюджет),None,2017,Хімія,Харківський національний університет імені В.Н. Каразіна,100,51,49,True,184.0540833333334,175.37329906542053,214,200.0,136.249,200.0,164.888,25
25,26,1,194.328,До наказу (бюджет),None,2017,Хімія,Харківський національний університет імені В.Н. Каразіна,100,51,49,True,184.0540833333334,175.37329906542053,214,200.0,136.249,200.0,164.888,26
26,27,2,194.122,Допущено,None,2017,Хімія,Харківський національний університет імені В.Н. Каразіна,100,51,49,False,184.0540833333334,175.37329906542053,214,200.0,136.249,200.0,164.888,27
27,28,4,194.122,До наказу (бюджет),None,2017,Хімія,Харківський національний університет імені В.Н. Каразіна,100,51,49,True,184.0540833333334,175.37329906542053,214,200.0,136.249,200.0,164.888,28
28,29,3,192.80900000000003,Допущено,None,2017,Хімія,Харківський національний університет імені В.Н. Каразіна,100,51,49,False,184.0540833333334,175.37329906542053,214,200.0,136.249,200.0,164.888,29
29,30,3,192.50599999999997,Допущено,None,2017,Хімія,Харківський національний університет імені В.Н. Каразіна,100,51,49,False,184.0540833333334,175.37329906542053,214,200.0,136.249,200.0,164.888,30
30,31,3,192.50599999999997,Допущено,None,2017,Хімія,Харківський національний університет імені В.Н. Каразіна,100,51,49,False,184.0540833333334,175.37329906542053,214,200.0,136.249,200.0,164.888,31
31,32,1,192.456,До наказу (бюджет),None,2017,Хімія,Харківський національний університет імені В.Н. Каразіна,100,51,49,True,184.0540833333334,175.37329906542053,214,200.0,136.249,200.0,164.888,32
32,33,3,192.405,Допущено,None,2017,Хімія,Харківський національний університет імені В.Н. Каразіна,100,51,49,False,184.0540833333334,175.37329906542053,214,200.0,136.249,200.0,164.888,33
33,34,5,192.102,Допущено,None,2017,Хімія,Харківський національний університет імені В.Н. Каразіна,100,51,49,False,184.0540833333334,175.37329906542053,214,200.0,136.249,200.0,164.888,34
34,35,3,191.9,Допущено,None,2017,Хімія,Харківський національний університет імені В.Н. Каразіна,100,51,49,False,184.0540833333334,175.37329906542053,214,200.0,136.249,200.0,164.888,35
35,36,5,191.69799999999998,Допущено,None,2017,Хімія,Харківський національний університет імені В.Н. Каразіна,100,51,49,False,184.0540833333334,175.37329906542053,214,200.0,136.249,200.0,164.888,36
36,37,2,191.597,Допущено,None,2017,Хімія,Харківський національний університет імені В.Н. Каразіна,100,51,49,False,184.0540833333334,175.37329906542053,214,200.0,136.249,200.0,164.888,37
37,38,9,191.19299999999998,Допущено,None,2017,Хімія,Харківський національний університет імені В.Н. Каразіна,100,51,49,False,184.0540833333334,175.37329906542053,214,200.0,136.249,200.0,164.888,38
38,39,К,191.19299999999998,Допущено,None,2017,Хімія,Харківський національний університет імені В.Н. Каразіна,100,51,49,False,184.0540833333334,175.37329906542053,214,200.0,136.249,200.0,164.888,39
39,40,4,190.99099999999999,Допущено,None,2017,Хімія,Харківський національний університет імені В.Н. Каразіна,100,51,49,False,184.0540833333334,175.37329906542053,214,200.0,136.249,200.0,164.888,40
40,41,2,190.89,Допущено,None,2017,Хімія,Харківський національний університет імені В.Н. Каразіна,100,51,49,False,184.0540833333334,175.37329906542053,214,200.0,136.249,200.0,164.888,41
41,42,К,190.688,До наказу (контракт),None,2017,Хімія,Харківський національний університет імені В.Н. Каразіна,100,51,49,False,184.0540833333334,175.37329906542053,214,200.0,136.249,200.0,164.888,42
42,43,1,190.687,До наказу (бюджет),None,2017,Хімія,Харківський національний університет імені В.Н. Каразіна,100,51,49,True,184.0540833333334,175.37329906542053,214,200.0,136.249,200.0,164.888,43
43,44,1,190.583,До наказу (бюджет),None,2017,Хімія,Харківський національний університет імені В.Н. Каразіна,100,51,49,True,184.0540833333334,175.37329906542053,214,200.0,136.249,200.0,164.888,44
44,45,3,190.385,Допущено,None,2017,Хімія,Харківський національний університет імені В.Н. Каразіна,100,51,49,False,184.0540833333334,175.37329906542053,214,200.0,136.249,200.0,164.888,45
45,46,5,189.981,Допущено,None,2017,Хімія,Харківський національний університет імені В.Н. Каразіна,100,51,49,False,184.0540833333334,175.37329906542053,214,200.0,136.249,200.0,164.888,46
46,47,7,189.88,Допущено,None,2017,Хімія,Харківський національний університет імені В.Н. Каразіна,100,51,49,False,184.0540833333334,175.37329906542053,214,200.0,136.249,200.0,164.888,47
47,48,9,189.77900000000002,Допущено,None,2017,Хімія,Харківський національний університет імені В.Н. Каразіна,100,51,49,False,184.0540833333334,175.37329906542053,214,200.0,136.249,200.0,164.888,48
48,49,2,189.678,Допущено,None,2017,Хімія,Харківський національний університет імені В.Н. Каразіна,100,51,49,False,184.0540833333334,175.37329906542053,214,200.0,136.249,200.0,164.888,49
49,50,2,189.678,Допущено,None,2017,Хімія,Харківський національний університет імені В.Н. Каразіна,100,51,49,False,184.0540833333334,175.37329906542053,214,200.0,136.249,200.0,164.888,50